,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q35,Q36,Q37
10,grandparent,645.0,432.0,60.0,Yes,Family members divide the total cost,,5,5,,it would help many families' handle the bills when taking care of person in need,5,when my grandmother got sick it was hard for us to stay organized with the bill and this app could help with that.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,4,5,5,no not at all,no it was clear and to the point
11,grandparent,7000.0,3000.0,4000.0,Yes,Family members divide the total cost,,3,5,,It would be a big help,5,It is beneficial to us,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,5,4,5,No,No
12,,50.0,0.0,50.0,No,,,4,5,,"It gives my family something that could help us share the responsibilities of my aunts care. Sometimes just agreeing by mouth to help, the responsibility falls on one person. Careshare would be something tangible that our family can plan together..",4,It could probably help us plan better together to help my aunt and no one person has all of the responsibility placed on them.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,No you did not miss anything. CareShare is very interesting.,No
13,,2500.0,1800.0,300.0,Yes,Family members send money to the main person caring for our relative,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,4,,It may make our lives easier,4,To make things easier on all of us,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,None,No
14,father,1200.0,400.0,800.0,No,,,1,5,,because it would be something that could help me.,5,i think it would be something to help us all,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,nothing i csn think of,no
15,wife,750.0,750.0,0.0,No,,,1,5,,"With my wife ill, she is no longer earning income from a job. Any sources of additional monies such as grants or assistance would be appreciated and interesting.",5,"With two sons (both in long term releationships) and other family, to know that they could help us or wouldn;t have to worry about us would be of great comfort.",,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,3,4,5,Nothing,None
16,wife,390.0,150.0,240.0,No,,,4,2,I feel at this time I believe I can do it by my self as I am in good health but maybe in the furture.,,2,,they live in a different state and are healthy.,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,3,3,3,as I stated before I am capable at this time to take care of my wife but will look into care share.,no
17,mother-in-law,1200.0,1000.0,200.0,Yes,Family members divide the total cost,,2,5,,Its ensure a better care,5,Because it support for better care,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,4,5,5,Any additional cost should update,Nothing confusing
18,father,500.0,200.0,300.0,No,,,2,4,,Sounds useful,4,Could help track/share responsibilities,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,4,4,4,,
19,grandparent,200.0,100.0,100.0,No,,,1,5,,I’ve been caring for her all by myself with little to no means,5,They would want it to help me help her,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Not included,1,4,5,/a,No
20,mother,3000.0,2700.0,100.0,Yes,Family members divide the total cost,,3,4,,Try something new,3,To busy,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,5,5,4,,None
21,father,2000.0,1500.0,500.0,Yes,Family members are each responsible for different bills,,5,5,,Help others,5,There's a lot of people in there who need help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,There is no,"No, it's fine"
22,father,500.0,500.0,0.0,No,,,1,3,,Always good to have info,1,,Not ready for help,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Required,3,4,3,No,No
23,wife,100.0,0.0,100.0,No,,,1,3,,See what’s available,2,,Don’t know,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Optional,3,2,3,No,No
24,father,2000.0,1500.0,500.0,No,,,5,5,,Help organize what needs paid,5,Easy to see what they need to pay (their share),,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,3,Required,5,5,5,,No.
25,husband,800.0,800.0,0.0,No,,,1,3,,I think the family should be involved,1,,They don't care what happens to him,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,3,3,4,Nothing,No
26,grandparent,500.0,300.0,200.0,Yes,Family members divide the total cost,,3,5,,Because my grandmother could get the help she needs,5,Because it would make our life easier in the long run,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,4,5,No,No
27,friend,4000.0,3700.0,300.0,Yes,Family members divide the total cost,,5,5,,So everyone is on the same page together,5,Because everyone would know how much we all owe at the same time,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,3,5,I can’t think of anything to add,No
28,grandparent,15000.0,12000.0,3000.0,Yes,"Family members divide the total cost,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,5,,The possibility of some assistance and or advise,4,The possibility of assistance and or advice,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,5,5,5,This was definitely a very unique very relatable and also very relevant survey to have participated that I will definitely look into careshare and also share this information with my family,Not at all confusing
29,grandparent,750.0,500.0,250.0,Yes,Family members send money to the main person caring for our relative,Cash or check,2,5,,Because it will help draw the lines of evenly dispersing responsibilities,5,Because it would help share the responsibility,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,5,5,5,Housing,No
30,mother-in-law,1200.0,750.0,450.0,No,,,1,5,,I need help with the care plans for the future of my mother in law,5,The future of our mother in law w care plan,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,,No
31,grandparent,4000.0,2000.0,2000.0,No,,,1,5,,It could possibly benefit myself and my family member,4,It might make it easier to help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,3,5,5,Can't think of anything at the moment,Nope
32,grandparent,2400.0,100.0,2300.0,No,,,4,5,,We need the help and it makes sense,4,It would help take the load off of family members,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,2,5,4,N/a,No
33,mother,500.0,250.0,100.0,No,,,5,4,,Relevant,4,Relevant to get help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,4,5,5,More information on the complete care,Nothing
34,mother,6000.0,6000.0,0.0,No,,,5,4,,this would be a good way to share the incidental costs among my siblings,3,to more fairly share the costs of incidental costs,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,5,3,4,none,none
35,father,500.0,200.0,300.0,No,,,2,5,,To help with monthly expenses that insurance doesn’t cover.,5,They’ll be happy to take some of the stress off of me.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Optional,4,5,5,No,No
36,grandparent,4000.0,3000.0,200.0,Yes,Family members are each responsible for different bills,,5,5,,It sounds useful,5,I would want to try it,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,5,5,5,,
37,,2500.0,1700.0,250.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me,Family members send money to the main person caring for our relative",Cash or check,5,5,,It may help save time & confusion.,5,To help everyone to see & Inderstand what is going on with finances,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Optional,5,5,5,I think you have given this a lot of thought and covered everything I can think of at the moment. Thank you,No it was a good survey
38,grandparent,400.0,200.0,100.0,Yes,Family members are each responsible for different bills,,5,1,Don’t know about it.,,3,Maybe,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,3,,
39,grandparent,1500.0,1500.0,0.0,No,,,1,3,,My family needs structure,2,,Lazy,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,1,Required,5,5,3,Na,No
40,mother,300.0,150.0,50.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,5,5,,It can teach me new things,5,I like to try it,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No,No
41,father,400.0,210.0,150.0,Yes,Family members are each responsible for different bills,,5,5,,Curiosity,5,We would like to know more before completing the application,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,4,3,5,Nothing,No
42,grandparent,1875.0,750.0,40.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check,ACH transfer",4,2,We have it under control as is and the fewer electronics involved the better to ease clarity and understanding,,3,Some of them might be so everyone can do their part and there are records of it,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,1,Optional,2,5,3,Ways to better manage and keep track non electronically,No
43,grandparent,750.0,70.0,350.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",1,5,,To make sure all the expenses are fair and equal,2,,They'll have to pay more,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,3,5,5,Nothing,No
44,grandparent,4000.0,4000.0,0.0,No,,,3,4,,It would help in the future.,4,It is good for us.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,2,Required,4,4,4,,
45,mother,300.0,200.0,100.0,No,,,2,4,,To show cost,3,Probably wouldn't be.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Required,4,3,4,Nothing at this time.,Nothing at this time.
46,father,300.0,200.0,75.0,No,,,1,1,My father has now passed away.,,4,Sounds like it would help share the burden without putting all the responsibility on one family member to gather the data.,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Required,4,5,5,I don’t believe so,No
47,mother,2000.0,1000.0,1000.0,No,,,5,5,,Want to learn morr about this,5,Want to know more,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,None,None
48,mother-in-law,1500.0,250.0,1250.0,No,,,5,5,,It would help,5,It would help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,5,5,None,None
49,grandparent,500.0,250.0,250.0,No,,,3,4,,Interesting,3,I don't know,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,3,Required,4,4,5,Nothing,No
50,mother-in-law,500.0,150.0,350.0,Yes,Family members are each responsible for different bills,,2,3,,Sounds interesting,2,,Sounds good,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Required,2,2,1,No,No
51,grandparent,1200.0,300.0,900.0,No,,,1,5,,To be treated fair and other family have a heart,3,Actually can see what is being done,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Required,5,4,5,I would like to see more of this,No everything was great
52,father,275.0,275.0,0.0,Yes,"Family members send money to my relative,Family members send money to the main person caring for our relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",3,5,,To figure out a monthly  expense plan,4,Setting out a plan of action for caregiver financial planning,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,1,Required,5,5,4,No,No
53,mother,750.0,750.0,0.0,Yes,Family members are each responsible for different bills,,5,1,Because I don't want my mom in a nursing home,,2,,Because we share the same thinking,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,1,No sir,No sir
54,mother,1400.0,0.0,1400.0,No,,,1,3,,The fact that it's a share cost and I don't have to pay for everything on my own,3,Maybe,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,,No
55,father,4000.0,1200.0,500.0,No,,,1,2,No family able to help,,1,,Not able,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,3,3,,
56,mother-in-law,300.0,100.0,200.0,Yes,Family members are each responsible for different bills,,5,4,,It might help expenses.,4,It might help with their expenses.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No,No
57,mother,100.0,100.0,0.0,No,,,5,1,Covered already,,2,,Not enough information.,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Required,3,3,3,,No
58,,1000.0,500.0,300.0,No,,,3,4,,Anything that can help with the care and cost of a colonoscopy,2,,He's old and set in his ways.   He also has early onset dementia.,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,4,5,5,No I think you about covered it all.  We will definitely be looking into this!,"No, it was concise and to the point."
59,mother,350.0,250.0,100.0,No,,,1,4,,They could help me out.,4,They could help us with my mom.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,3,Optional,4,4,4,Nope!,
60,mother-in-law,50.0,0.0,50.0,No,,,1,2,Sister in law would not help,,1,,Live far away,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,2,1,1,No,No
61,mother,10000.0,6000.0,4000.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",4,4,,british,4,yes,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,3,5,4,british,yes
62,grandparent,5000.0,5000.0,0.0,No,,,5,5,,To see how well it will help me with my grandparnt health over time.,4,I need extra eyes to take care of my grandparent like this app for exmpale.,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,5,4,5,None.,No
63,mother,3000.0,1000.0,2000.0,No,,,1,5,,For cost readons,5,Less of a cost,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,2,Optional,4,4,5,No,No
64,father,1000.0,500.0,500.0,Yes,Family members divide the total cost,,4,5,,Can help me take better care of my family,5,Can help me take better care of my family,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,5,5,5,No,No
65,mother,450.0,450.0,0.0,No,,,3,4,,It's interesting,4,It's helpful,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,4,Optional,4,4,4,45,45
66,mother,5000.0,4000.0,1000.0,Yes,Family members are each responsible for different bills,,5,3,,I like careshare because i have to pay my mortgage on time to pay the bills but it.,5,We need more money to buy a house and we need to get a house.,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Not included,3,5,5,I need to help her to survive her life because i have no money and she has to work for her.,No there wasn’t has ever had an issue in.
67,mother,600.0,0.0,350.0,Yes,Family members send money to my relative,Cash or check,3,1,"Of my 3 Siblings, 1 and myself are the only 2 that are in a financial position to do so.",,1,,They cannot contribute any money.,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,2,Required,5,5,1,No. Thank you.,"No, I don't think so right now."
68,father,250.0,180.0,60.0,Yes,Family members send money to me,"Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",5,4,,If it helps take some stress from the already hectic days its welcoming,4,To help with errands and daily activities,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,4,Required,5,5,5,Not at all,Nothing
69,mother-in-law,1700.0,0.0,1700.0,Yes,"Family members divide the total cost,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,Cash or check",3,4,,It's helpful to keep up with money and hardship payment,3,Yes so it can help us all keep up on payments and finance,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,3,Required,4,5,2,No,No
70,father,100.0,50.0,0.0,No,,,1,3,,It might help me,3,It might help us,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,3,3,3,Not that I know of,No
71,husband,1000.0,1000.0,0.0,No,,,5,3,,I’m interested but am cautious,3,I think that they would want to be educated,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,5,3,4,No,No
72,mother,542.0,310.0,232.0,No,,,4,5,,Can help me reduce the stress of life and make my mom well taken care of,4,They want to reduce the stress of life as much as I do,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Optional,4,4,4,I would prefer to be targeted to help me take care of my family,
73,mother,1300.0,0.0,1300.0,Yes,Family members divide the total cost,,5,5,,They will assist in helping my MOM live a better and longer life.  Keep them engaged locally and globally.,5,I believe they will keep my MOM engaged a few days of the week by keeping her involved in the community.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,3,5,none,no
74,father,1200.0,400.0,400.0,Yes,"Family members divide the total cost,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle,ACH transfer",4,5,,I think it will be easy to use and helpful for me,5,It would help them save some energy,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,3,4,4,,
75,father,3000.0,1500.0,1500.0,Yes,"Family members are each responsible for different bills,Family members send money to my relative,Family members send money to me","Mobile banking app, e.g. Venmo, ApplePay, Zelle",5,5,,It could be helpful to my dad's health,3,The amount of options available,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,2,Required,2,4,1,Nothing,Took too long
76,husband,600.0,500.0,100.0,No,,,4,4,,more for my aging parents than my spouse,4,they are more on a limited budget than myself,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,4,4,4,sounds good,needed explaination at the beginning  understood more as i got the questions
77,mother,500.0,300.0,200.0,Yes,Family members are each responsible for different bills,,4,4,,Help pay for cate,4,Get more information,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Optional,4,4,4,No,No
78,father,500.0,500.0,0.0,Yes,Family members are each responsible for different bills,,5,3,,To see what they offer,3,To see what they offer,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,3,Required,3,3,3,None,None
79,mother,1200.0,1200.0,0.0,No,,,1,3,,"Could help, but I want to know more",2,,"Not blood mother, not responsible",ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,1,Optional,5,5,4,Schedule maintenance for pick ups and shared time,No
80,mother-in-law,1550.0,500.0,1050.0,Yes,Family members are each responsible for different bills,,1,5,,They're an easy company to do business with.,5,They're an easy company to do business with.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,5,5,5,Not really no. She's post menopausal so there isn't anything else to worry about in terms of self care.,No.
81,father,300.0,200.0,50.0,No,,,5,5,,If it provides contributed cost for caring for my father I'm very interested,5,It would help minimize out of pocket expenses,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Required,5,5,5,No. It sounds wonderful.,None.
82,grandparent,1000.0,800.0,200.0,No,,,5,5,,Because I am tired of being the only person in my extended family who has to pay for the care of my grandmother.,5,To feel like they are actually doing something,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,4,5,5,None,No
83,mother,675.0,350.0,300.0,No,,,1,4,,To get help and support,3,To help with support,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,4,Required,4,4,4,Nothing I can think of,None
84,grandparent,1500.0,1500.0,0.0,Yes,"Family members divide the total cost,Family members send money to my relative",Cash or check,4,2,It doesn’t matter to me,,4,Because my mom is the sole caregiver,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,5,Required,3,3,3,No,Nope
85,mother-in-law,600.0,0.0,600.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,5,4,,Because then they can help without being the,4,Any help is appreciated,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,4,5,5,No,No
86,mother,1000.0,75.0,15.0,Yes,Family members divide the total cost,,1,3,,Might make things easier when dividing things up,1,,They pay less now than they would with that,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Optional,3,5,4,None,None
87,mother-in-law,1000.0,800.0,200.0,No,,,3,3,,Fairness,4,Equality,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,5,4,5,Not sure,No
88,grandparent,1500.0,500.0,1000.0,No,,,1,5,,It would cut down medical expenses significantly.,5,It would help with medical cost and medication.,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,5,5,5,Nothing,Nothing confusing.
89,mother-in-law,500.0,200.0,300.0,No,,,1,5,,Anything that helps out with caring for elderly. I would like more information.,5,If it saves us money they would be interested,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,No,No
90,mother-in-law,4000.0,4000.0,0.0,Yes,Family members divide the total cost,,5,2,because we already have home care,,1,,have home care for her already,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Not included,5,5,4,no,no
91,mother,1300.0,600.0,700.0,Yes,Family members are each responsible for different bills,,5,4,,Because it’s time I don’t have to spend dealing with it,5,Because of the time it takes dealing with it ourselves,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,2,Optional,5,5,5,They seemed to think of everything,No
92,mother,5000.0,1200.0,3800.0,No,,,1,3,,Willing to take a look,2,,They are selfish,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,4,3,4,No,This was very simple
93,grandparent,300.0,300.0,0.0,No,,,5,3,,Idk,1,,They have other,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,2,Optional,3,4,3,Ni,No
94,father,1000.0,500.0,500.0,Yes,Family members divide the total cost,,5,2,i prefer to take care of my own family while i still can,,2,,prefer to keep things in the family,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,3,Required,3,3,2,no,no
95,husband,250.0,250.0,0.0,No,,,5,2,My family would not bother to help.,,1,,They are jerks,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,5,Required,2,4,4,"No, nothing","No, thank you"
96,father,750.0,200.0,0.0,Yes,Family members divide the total cost,,5,3,,Just to see what they offer,3,To see what they offer and how they can help,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Required,4,4,4,Nothing,Nothing
97,grandparent,2200.0,1000.0,1200.0,Yes,Family members are each responsible for different bills,,4,3,,Could be beneficial,3,It could help alleviate some pain,,ask for financial help from other family members for caregiving costs,split a single total monthly cost with your family,a payment that varied based on each month's actual costs,4,Optional,4,3,4,None,None
98,grandparent,300.0,150.0,150.0,Yes,"Family members are each responsible for different bills,Family members divide the total cost",,4,4,,Help us organize,3,Help us in organizing finances,,ask for financial help from other family members for caregiving costs,split specific expenses and bills with your family,a fixed monthly payment,4,Required,4,4,3,,None
99,mother,150.0,0.0,150.0,Yes,Family members are each responsible for different bills,,5,5,,Because it would be helpful,5,Because it would be helpful,,provide financial help for caregiving costs to a family member,split a single total monthly cost with your family,a fixed monthly payment,5,Optional,5,5,5,No,No
100,grandparent,1500.0,1000.0,500.0,No,,,5,5,,Helps with what you bought and paid for,4,To help with cost,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a fixed monthly payment,5,Required,5,5,5,Think it got covered,No
101,grandparent,100.0,80.0,20.0,Yes,Family members are each responsible for different bills,,5,3,,it seems conveniently,2,,they're not very techy,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Required,3,3,3,no,no
102,grandparent,500.0,500.0,0.0,Yes,Family members are each responsible for different bills,,4,4,,It would help for future expenses,4,They would be able to pay for future expenses for her care required,,provide financial help for caregiving costs to a family member,split specific expenses and bills with your family,a payment that varied based on each month's actual costs,3,Optional,3,4,4,living will notice,No
